[2026-09-14 12:14:14] INFO Pretraining start | run=metrla_e5_tgge_joint_context_offset_only_v1_transfer_hidden128_ffn2_b16_seed42 | device=cuda:0 (requested=cuda:0) | seed=42 | output=C:\Users\clw\projects\researchRep\STAnchor-BlockMemory\artifacts\metrla_e5_tgge_joint_context_offset_only_v1_transfer_hidden128_ffn2_b16_seed42
[2026-09-14 12:14:14] INFO Data | steps=34272 | nodes=207 | channels=1 | train/val/test=22681/2993/6025 | dropped_unobserved=1010/135/531
[2026-09-14 12:14:14] INFO Tensor contract | retrieval_x=[B,288,207,1] | forecast_x=[B,12,207,1] | patches=24 | hidden=128 | retrieval_dim=64 | y=[B,12,207,1] | graph_edges=1722
[2026-09-14 12:14:14] INFO Parameters | total=958,704 | trainable=958,704 | embedding=40,576 | encoder=850,372 | route_attention=54,980 | retrieval_head=66,208 | reconstruction_head=1,548
[2026-09-14 12:14:14] INFO Route | enabled=True | top_k=6 | local_quota=0 | route_dim=16 | prior_weight=0.250 | temperature=0.100 | gate_bias=-2.000 | parameters=54,980
[2026-09-14 12:14:14] INFO Optimization | epochs=50 | batch_size=16 | lr=0.001 | weight_decay=0.0001 | objective=masked_relation_single_view | reconstruction_weight=2.000 | validation_interval=1 | time_mask=0.250 | time_mask_block=36 steps | space_mask=0.250 | retrieval_loss=relation | teacher_mode=offset_only | distance_normalization=symmetric_geometric_mean | future_increment_weight=0.000 | context_relation_weight=0.200 | retrieval_weight=1.000 | student_tau=0.100 | teacher_tau=0.100 | patience=10
[2026-09-14 12:14:14] INFO Pretraining duration | early_stopping=disabled | fixed_epochs=50
[2026-09-14 12:14:14] INFO Epoch 001/050 started | train_batches=1418 | val_batches=188
[2026-09-14 12:14:15] INFO Epoch 001 | train batch=1/1418 | elapsed=0.0 min | eta=27.3 min
[2026-09-14 12:14:19] INFO Epoch 001 | train batch=10/1418 | elapsed=0.1 min | eta=11.6 min
[2026-09-14 12:14:23] INFO Epoch 001 | train batch=20/1418 | elapsed=0.2 min | eta=11.0 min
[2026-09-14 12:14:28] INFO Epoch 001 | train batch=30/1418 | elapsed=0.2 min | eta=10.7 min
[2026-09-14 12:14:32] INFO Epoch 001 | train batch=40/1418 | elapsed=0.3 min | eta=10.4 min
[2026-09-14 12:14:36] INFO Epoch 001 | train batch=50/1418 | elapsed=0.4 min | eta=10.2 min
[2026-09-14 12:14:41] INFO Epoch 001 | train batch=60/1418 | elapsed=0.4 min | eta=10.1 min
[2026-09-14 12:14:45] INFO Epoch 001 | train batch=70/1418 | elapsed=0.5 min | eta=9.9 min
[2026-09-14 12:14:49] INFO Epoch 001 | train batch=80/1418 | elapsed=0.6 min | eta=9.8 min
[2026-09-14 12:14:53] INFO Epoch 001 | train batch=90/1418 | elapsed=0.7 min | eta=9.7 min
[2026-09-14 12:14:58] INFO Epoch 001 | train batch=100/1418 | elapsed=0.7 min | eta=9.7 min
[2026-09-14 12:15:03] INFO Epoch 001 | train batch=110/1418 | elapsed=0.8 min | eta=9.7 min
[2026-09-14 12:15:07] INFO Epoch 001 | train batch=120/1418 | elapsed=0.9 min | eta=9.6 min
[2026-09-14 12:15:11] INFO Epoch 001 | train batch=130/1418 | elapsed=1.0 min | eta=9.5 min
[2026-09-14 12:15:16] INFO Epoch 001 | train batch=140/1418 | elapsed=1.0 min | eta=9.4 min
[2026-09-14 12:15:20] INFO Epoch 001 | train batch=150/1418 | elapsed=1.1 min | eta=9.3 min
[2026-09-14 12:15:24] INFO Epoch 001 | train batch=160/1418 | elapsed=1.2 min | eta=9.3 min
[2026-09-14 12:15:29] INFO Epoch 001 | train batch=170/1418 | elapsed=1.3 min | eta=9.2 min
[2026-09-14 12:15:33] INFO Epoch 001 | train batch=180/1418 | elapsed=1.3 min | eta=9.1 min
[2026-09-14 12:15:38] INFO Epoch 001 | train batch=190/1418 | elapsed=1.4 min | eta=9.0 min
[2026-09-14 12:15:42] INFO Epoch 001 | train batch=200/1418 | elapsed=1.5 min | eta=8.9 min
[2026-09-14 12:15:46] INFO Epoch 001 | train batch=210/1418 | elapsed=1.5 min | eta=8.9 min
[2026-09-14 12:15:51] INFO Epoch 001 | train batch=220/1418 | elapsed=1.6 min | eta=8.8 min
[2026-09-14 12:15:55] INFO Epoch 001 | train batch=230/1418 | elapsed=1.7 min | eta=8.7 min
[2026-09-14 12:16:00] INFO Epoch 001 | train batch=240/1418 | elapsed=1.8 min | eta=8.7 min
[2026-09-14 12:16:04] INFO Epoch 001 | train batch=250/1418 | elapsed=1.8 min | eta=8.6 min
[2026-09-14 12:16:09] INFO Epoch 001 | train batch=260/1418 | elapsed=1.9 min | eta=8.5 min
[2026-09-14 12:16:13] INFO Epoch 001 | train batch=270/1418 | elapsed=2.0 min | eta=8.4 min
[2026-09-14 12:16:17] INFO Epoch 001 | train batch=280/1418 | elapsed=2.1 min | eta=8.3 min
[2026-09-14 12:16:21] INFO Epoch 001 | train batch=290/1418 | elapsed=2.1 min | eta=8.3 min
[2026-09-14 12:16:26] INFO Epoch 001 | train batch=300/1418 | elapsed=2.2 min | eta=8.2 min
[2026-09-14 12:16:30] INFO Epoch 001 | train batch=310/1418 | elapsed=2.3 min | eta=8.1 min
[2026-09-14 12:16:35] INFO Epoch 001 | train batch=320/1418 | elapsed=2.3 min | eta=8.0 min
[2026-09-14 12:16:39] INFO Epoch 001 | train batch=330/1418 | elapsed=2.4 min | eta=8.0 min
[2026-09-14 12:16:43] INFO Epoch 001 | train batch=340/1418 | elapsed=2.5 min | eta=7.9 min
[2026-09-14 12:16:47] INFO Epoch 001 | train batch=350/1418 | elapsed=2.6 min | eta=7.8 min
[2026-09-14 12:16:52] INFO Epoch 001 | train batch=360/1418 | elapsed=2.6 min | eta=7.7 min
[2026-09-14 12:16:56] INFO Epoch 001 | train batch=370/1418 | elapsed=2.7 min | eta=7.7 min
[2026-09-14 12:17:00] INFO Epoch 001 | train batch=380/1418 | elapsed=2.8 min | eta=7.6 min
[2026-09-14 12:17:04] INFO Epoch 001 | train batch=390/1418 | elapsed=2.8 min | eta=7.5 min
